p(MeV) beta E(MeV) m(MeV)
289.368 0.89052 324.942 147.831 
287.868 0.9006 319.641 138.931 
293.872 0.895615 328.123 145.959 
288.055 0.905683 318.053 134.841 
290.195 0.901649 321.849 139.189 
284.902 0.904187 315.092 134.588 
290.355 0.91125 318.633 131.23 
288.852 0.907579 318.266 133.634 
280.804 0.906807 309.663 130.537 
284.741 0.898713 316.832 138.942 
296.207 0.895406 330.808 147.292 
284.721 0.903396 315.168 135.146 
285.013 0.893999 318.807 142.848 
277.338 0.916777 302.515 120.825 
284.45 0.895767 317.55 141.158 
294.059 0.879644 334.293 159 
288.578 0.887164 325.281 150.102 
283.09 0.903826 313.213 134.024 
288.525 0.894769 322.458 143.987 
270.909 0.898864 301.39 132.077 
286.902 0.903859 317.419 135.801 
279.515 0.890109 314.024 143.116 
280.466 0.883447 317.468 148.744 
292.252 0.899275 324.986 142.144 
290.893 0.897168 324.235 143.211 
293.805 0.900872 326.134 141.57 
286.177 0.903316 316.807 135.903 
286.841 0.904783 317.028 135.014 
294.128 0.900541 326.613 142.002 
286.026 0.89375 320.029 143.554 
280.352 0.900589 311.299 135.313 
287.247 0.900911 318.841 138.378 
288.048 0.900523 319.868 139.081 
290.76 0.910066 319.494 132.418 
295.107 0.883597 333.983 156.387 
285.649 0.890853 320.647 145.668 
287.906 0.904315 318.369 135.901 
287.972 0.902489 319.087 137.435 
288.403 0.898546 320.966 140.865 
289.915 0.902271 321.317 138.542 
279.132 0.897438 311.032 137.209 
286.21 0.894862 319.837 142.757 
288.982 0.905828 319.025 135.154 
290.884 0.89157 326.261 147.758 
296.157 0.88159 335.935 158.567 
288.292 0.921796 312.75 121.246 
285.064 0.905639 314.765 133.476 
293.218 0.910733 321.958 132.967 
295.3 0.903929 326.685 139.717 
291.215 0.895008 325.377 145.134 
285.201 0.897722 317.694 139.964 
281.921 0.903786 311.933 133.503 
290.994 0.906313 321.074 135.688 
293.859 0.890313 330.063 150.294 
290.967 0.892744 325.925 146.85 
290.736 0.897387 323.981 142.955 
289.114 0.894291 323.288 144.667 
290.911 0.903822 321.868 137.73 
288.745 0.900847 320.526 139.152 
285.676 0.889501 321.165 146.751 
285.972 0.898927 318.126 139.371 
283.927 0.892765 318.031 143.28 
281.313 0.905777 310.577 131.609 
284.923 0.901874 315.924 136.479 
291.45 0.904732 322.139 137.225 
293.932 0.902804 325.576 140.015 
288.466 0.894539 322.474 144.143 
291.644 0.879565 331.578 157.757 
286.525 0.897618 319.206 140.698 
288.421 0.884915 325.931 151.803 
288.982 0.889087 325.032 148.779 
286.9 0.907122 316.275 133.11 
295.045 0.902933 326.763 140.436 
289.689 0.898869 322.281 141.23 
285.421 0.903407 315.939 135.47 
290.013 0.885735 327.426 151.989 
289.716 0.894254 323.975 144.998 
287.599 0.890561 322.941 146.894 
293.611 0.902067 325.487 140.478 
284.157 0.889402 319.493 146.049 
294.388 0.903519 325.823 139.631 
286.428 0.89944 318.451 139.178 
293.834 0.914909 321.162 129.64 
286.024 0.901138 317.403 137.605 
282.298 0.910529 310.037 128.184 
281.766 0.897301 314.015 138.612 
289.422 0.890056 325.173 148.23 
293.914 0.909043 323.323 134.729 
285.032 0.913271 312.1 127.134 
281.933 0.901421 312.765 135.409 
280.508 0.903338 310.523 133.192 
285.162 0.90215 316.092 136.369 
289.669 0.899903 321.889 140.372 
273.513 0.907792 301.295 126.369 
296.617 0.89603 331.034 146.977 
284.463 0.897009 317.124 140.173 
282.273 0.906295 311.458 131.636 
275.601 0.899609 306.356 133.784 
289.923 0.904728 320.453 136.51 
298.506 0.897774 332.496 146.45 
286.591 0.896528 319.668 141.609 
284.825 0.897285 317.429 140.13 
275.039 0.909301 302.473 125.871 
296.636 0.894281 331.703 148.439 
290.729 0.907345 320.417 134.699 
282.48 0.903387 312.69 134.09 
282.895 0.902533 313.446 134.976 
293.11 0.902688 324.708 139.721 
283.883 0.90665 313.112 132.097 
283.799 0.898575 315.832 138.594 
285.914 0.898675 318.15 139.545 
284.218 0.913302 311.199 126.746 
278.37 0.909886 305.939 126.921 
283.023 0.906602 312.18 131.735 
287.884 0.901688 319.272 138.049 
292.939 0.901937 324.789 140.266 
289.982 0.896997 323.281 142.902 
281.969 0.908684 310.305 129.547 
293.39 0.905455 324.025 137.53 
287.97 0.906512 317.668 134.113 
289.539 0.900922 321.38 139.473 
278.986 0.911873 305.948 125.583 
288.515 0.892118 323.405 146.115 
284.465 0.891024 319.256 144.928 
288.632 0.895166 322.434 143.72 
289.863 0.911701 317.936 130.625 
284.476 0.890482 319.463 145.361 
277.978 0.922849 301.217 116.018 
283.981 0.893542 317.815 142.692 
284.805 0.908673 313.429 130.859 
288.552 0.876488 329.214 158.491 
273.141 0.904053 302.129 129.136 
302.155 0.890427 339.337 154.441 
290.052 0.878996 329.981 157.344 
292.911 0.901324 324.978 140.763 
286.787 0.898458 319.199 140.147 
294.826 0.897522 328.489 144.854 
280.558 0.897871 312.47 137.568 
284.89 0.907045 314.086 132.241 
286.457 0.887843 322.644 148.463 
274.397 0.89543 306.442 136.429 
291.181 0.885581 328.802 152.724 
283.286 0.904684 313.133 133.42 
276.53 0.899127 307.554 134.612 
282.904 0.892691 316.911 142.822 
281.302 0.893107 314.97 141.688 
287.82 0.907787 317.056 132.984 
281.175 0.904224 310.958 132.797 
276.434 0.906826 304.837 128.49 
279.934 0.896168 312.367 138.602 
293.086 0.914445 320.507 129.712 
283.344 0.912771 310.421 126.798 
284.019 0.899368 315.799 138.065 
282.185 0.898383 314.103 137.958 
289.487 0.89467 323.568 144.547 
283.082 0.904503 312.97 133.471 
283.285 0.906342 312.559 132.07 
283.894 0.914392 310.473 125.689 
287.042 0.89225 321.705 145.263 
284.75 0.905815 314.358 133.185 
280.455 0.894109 313.669 140.477 
285.402 0.893841 319.298 143.168 
287.162 0.90912 315.867 131.569 
285.113 0.90378 315.467 135.019 
293.997 0.897509 327.57 144.457 
288.747 0.896004 322.26 143.099 
284.207 0.893546 318.066 142.802 
287.404 0.907455 316.715 133.067 
293.35 0.888526 330.154 151.483 
284.682 0.903727 315.009 134.858 
286.199 0.910041 314.49 130.362 
290.255 0.903124 321.39 137.998 
277.86 0.896604 309.903 137.235 
280.274 0.898586 311.906 136.864 
287.636 0.898841 320.008 140.252 
274.984 0.900434 305.39 132.842 
288.859 0.900835 320.657 139.217 
295.56 0.907136 325.817 137.116 
284.641 0.901114 315.877 136.959 
287.704 0.911064 315.789 130.188 
291.165 0.893973 325.698 145.952 
282.351 0.908963 310.629 129.494 
285.061 0.905736 314.729 133.396 
290.685 0.900971 322.636 139.985 
292.856 0.908371 322.397 134.815 
291.733 0.884307 329.9 154.033 
284.052 0.909391 312.355 129.921 
290.05 0.892188 325.1 146.836 
277.75 0.898418 309.155 135.762 
294.063 0.905024 324.923 138.21 
285.789 0.890195 321.041 146.26 
289.637 0.885737 327.001 151.79 
285.845 0.901052 317.235 137.589 
291.32 0.901891 323.011 139.529 
291.56 0.900207 323.882 141.038 
293.799 0.906656 324.047 136.706 
284.31 0.890058 319.429 145.611 
278.616 0.891761 312.433 141.378 
272.586 0.891167 305.875 138.768 
287.688 0.901569 319.097 138.052 
287.364 0.910245 315.7 130.722 
289.018 0.917277 315.083 125.482 
285.974 0.907911 314.98 132.028 
284.007 0.894312 317.57 142.095 
301.139 0.884113 340.612 159.159 
281.668 0.880286 319.973 151.809 
290.192 0.904307 320.899 136.986 
278.288 0.899526 309.371 135.154 
286.271 0.896188 319.432 141.723 
285.265 0.899556 317.117 138.519 
280.085 0.907754 308.547 129.437 
272.983 0.891846 306.087 138.455 
285.144 0.910845 313.054 129.213 
286.348 0.906644 315.833 133.248 
280.206 0.908244 308.514 129.095 
285.461 0.881975 323.661 152.54 
287.451 0.905196 317.557 134.96 
287.811 0.904511 318.195 135.695 
285.182 0.897778 317.653 139.909 
292.751 0.892628 327.966 147.845 
292.982 0.893075 328.059 147.596 
284.963 0.88678 321.346 148.524 
288.784 0.901347 320.391 138.761 
277.49 0.901517 307.803 133.2 
283.359 0.890659 318.145 144.652 
287.687 0.905544 317.695 134.783 
283.164 0.874732 323.716 156.875 
287.502 0.882807 325.668 152.978 
285.66 0.910824 313.628 129.464 
286.446 0.902934 317.239 136.343 
295.064 0.889556 331.699 151.529 
278.146 0.894473 310.961 139.038 
286.129 0.890667 321.253 146.059 
280.081 0.905157 309.429 131.531 
290.551 0.888937 326.852 149.708 
293.562 0.900965 325.831 141.375 
285.885 0.88041 324.718 153.986 
288.376 0.902502 319.529 137.616 
280.823 0.89881 312.439 136.954 
288.363 0.908758 317.315 132.423 
283.823 0.883775 321.148 150.269 
292.087 0.90798 321.689 134.792 
285.528 0.883785 323.074 151.164 
294.944 0.901312 327.239 141.75 
278.948 0.906161 307.835 130.193 
286.164 0.921132 310.666 120.926 
284.449 0.904102 314.621 134.443 
279.582 0.900395 310.511 135.095 
306.474 0.891555 343.752 155.69 
274.424 0.894074 306.937 137.483 
285.958 0.88827 321.927 147.868 
286.639 0.89253 321.153 144.836 
286.473 0.901663 317.716 137.393 
290.758 0.899031 323.413 141.617 
289.679 0.906439 319.579 134.97 
276.504 0.893914 309.319 138.648 
292.203 0.905184 322.811 137.201 
284.277 0.915346 310.568 125.056 
278.935 0.885173 315.119 146.613 
283.906 0.909681 312.094 129.615 
288.18 0.901432 319.692 138.401 
295.281 0.924369 319.44 121.866 
289.859 0.89863 322.557 141.508 
294.427 0.893014 329.7 148.375 
296.561 0.910715 325.636 134.499 
288.471 0.910819 316.716 130.742 
288.465 0.894075 322.641 144.517 
276.923 0.898969 308.045 134.928 
277.245 0.890685 311.271 141.511 
281.913 0.895341 314.867 140.236 
276.749 0.895899 308.906 137.234 
277.078 0.895719 309.336 137.537 
287.028 0.916021 313.342 125.691 
290.717 0.892766 325.636 146.706 
289.637 0.90084 321.519 139.588 
287.933 0.888902 323.92 148.387 
291.738 0.896746 325.33 143.974 
280.661 0.893201 314.22 141.291 
283.538 0.913952 310.233 125.899 
277.551 0.901329 307.936 133.378 
287.395 0.89251 322.008 145.235 
274.383 0.90484 303.24 129.105 
286.415 0.900247 318.151 138.516 
283.607 0.906813 312.751 131.835 
285.747 0.906974 315.056 132.697 
293.37 0.900015 325.961 142.073 
289.796 0.87896 329.704 157.235 
284.093 0.906609 313.358 132.228 
285.621 0.910544 313.682 129.68 
289.987 0.89867 322.685 141.538 
288.813 0.905352 319.006 135.47 
281.749 0.90692 310.665 130.884 
305.542 0.904694 337.73 143.894 
293.655 0.900433 326.126 141.864 
284.409 0.894614 317.913 142.056 
290.699 0.89554 324.607 144.444 
288.696 0.890979 324.021 147.12 
284.339 0.880243 323.023 153.282 
283.056 0.890991 317.687 144.236 
282.937 0.902902 313.364 134.698 
279.427 0.918204 304.319 120.543 
280.406 0.880578 318.434 150.906 
277.916 0.896527 309.992 137.323 
291.938 0.898485 324.922 142.642 
271.635 0.906442 299.672 126.561 
276.862 0.904684 306.032 130.395 
288.251 0.901721 319.668 138.198 
282.038 0.882269 319.674 150.485 
293.779 0.915341 320.951 129.241 
290.679 0.910371 319.298 132.123 
284.483 0.909095 312.93 130.363 
276.61 0.902756 306.406 131.801 
283.102 0.896829 315.67 139.645 
277.764 0.913005 304.231 124.111 
289.234 0.890878 324.661 147.475 
282.325 0.898198 314.324 138.174 
295.446 0.895732 329.838 146.644 
284.945 0.915657 311.192 125.087 
284.89 0.887923 320.85 147.589 
285.793 0.907319 314.986 132.434 
284.599 0.89615 317.58 140.926 
286.745 0.884027 324.362 151.619 
283.905 0.908573 312.474 130.528 
285.526 0.893644 319.508 143.387 
302.084 0.903888 334.205 142.963 
290.517 0.901753 322.169 139.258 
292.743 0.900573 325.063 141.306 
297.016 0.89586 331.543 147.316 
281.318 0.885883 317.557 147.318 
273.052 0.902889 302.42 130.003 
296.886 0.905548 327.852 139.09 
288.599 0.900264 320.572 139.56 
284.089 0.889543 319.365 145.902 
291.916 0.888483 328.555 150.777 
284.695 0.893142 318.757 143.369 
272.915 0.910973 299.586 123.569 
285.246 0.899488 317.12 138.564 
280.864 0.910659 308.418 127.426 
288.828 0.896609 322.134 142.649 
291.706 0.89636 325.434 144.274 
284.145 0.888209 319.908 146.978 
302.007 0.907219 332.893 140.034 
292.675 0.911623 321.048 131.96 
293.621 0.890425 329.754 150.081 
286.527 0.89794 319.094 140.439 
294.193 0.909149 323.592 134.767 
284.708 0.896727 317.496 140.519 
283.567 0.90039 314.938 137.025 
292.4 0.904383 323.314 137.965 
295.056 0.921994 320.019 123.912 
292.704 0.90794 322.382 135.111 
275.882 0.886272 311.284 144.176 
291.167 0.875515 332.567 160.694 
294.348 0.892797 329.692 148.513 
302.734 0.898839 336.806 147.615 
282.536 0.911795 309.868 127.246 
291.573 0.899433 324.174 141.683 
283.695 0.89629 316.522 140.367 
285.869 0.891721 320.582 145.091 
280.651 0.896222 313.149 138.915 
282.201 0.895748 315.045 140.057 
293.238 0.907551 323.109 135.687 
282.963 0.893399 316.727 142.294 
294.172 0.906956 324.35 136.624 
284.343 0.909136 312.761 130.264 
290.599 0.90168 322.286 139.358 
287.045 0.899506 319.114 139.423 
298.619 0.907339 329.115 138.36 
282.325 0.908565 310.737 129.809 
277.156 0.902719 307.024 132.091 
290.244 0.890827 325.814 148.031 
297.971 0.901695 330.456 142.88 
288.061 0.901092 319.679 138.622 
280.796 0.889366 315.726 144.349 
289.396 0.899575 321.703 140.509 
282.604 0.882666 320.171 150.481 
287.963 0.913146 315.353 128.549 
283.695 0.914568 310.195 125.453 
298.102 0.906148 328.977 139.144 
285.133 0.906529 314.532 132.778 
293.427 0.892697 328.698 148.13 
290.511 0.899145 323.097 141.404 
286.92 0.898968 319.166 139.799 
283.907 0.901803 314.821 136.049 
280.863 0.899665 312.186 136.295 
284.32 0.901995 315.212 136.092 
292.103 0.906139 322.36 136.352 
283.375 0.909812 311.466 129.264 
292.919 0.908718 322.344 134.55 
283.476 0.894776 316.813 141.462 
281.044 0.90342 311.089 133.381 
294.341 0.907511 324.339 136.232 
284.005 0.891178 318.685 144.572 
278.665 0.89731 310.556 137.08 
278.968 0.881421 316.498 149.492 
287.605 0.906396 317.307 134.04 
290.826 0.883105 329.322 154.51 
295.812 0.91046 324.904 134.379 
283.543 0.887738 319.399 147.035 
290.994 0.906311 321.075 135.69 
293.691 0.918808 319.644 126.165 
278.114 0.892407 311.644 140.623 
293.395 0.894706 327.923 146.469 
279.767 0.900954 310.523 134.74 
286.4 0.887692 322.634 148.553 
289.261 0.888445 325.581 149.436 
300.023 0.883185 339.706 159.33 
299.308 0.895307 334.308 148.917 
281.297 0.893297 314.897 141.535 
280.399 0.919679 304.888 119.72 
275.924 0.891764 309.414 140.01 
287.979 0.887174 324.602 149.783 
284.597 0.898399 316.782 139.124 
279.751 0.893017 313.265 140.977 
301.29 0.900633 334.531 145.381 
275.746 0.886598 311.016 143.857 
293.163 0.905185 323.871 137.651 
288.963 0.904662 319.415 136.112 
283.752 0.908519 312.324 130.503 
279.672 0.898246 311.353 136.838 
280.563 0.901139 311.343 134.977 
288.87 0.898273 321.584 141.316 
287.364 0.898046 319.988 140.764 
292.401 0.893563 327.23 146.906 
297.134 0.912414 325.658 133.282 
282.7 0.888066 318.332 146.342 
296.175 0.897269 330.085 145.728 
289.915 0.88195 328.72 154.94 
293.382 0.903011 324.893 139.58 
285.928 0.88813 321.943 147.963 
287.235 0.907915 316.368 132.607 
289.318 0.887209 326.099 150.451 
291.941 0.892124 327.243 147.845 
288.285 0.909509 316.968 131.759 
289.133 0.904894 319.521 136 
295.673 0.908179 325.567 136.277 
283.796 0.896261 316.644 140.44 
281.361 0.896999 313.669 138.652 
284.731 0.902662 315.435 135.748 
285.622 0.905123 315.562 134.161 
277.608 0.883606 314.176 147.107 
289.616 0.885954 326.898 151.606 
284.612 0.910452 312.605 129.298 
293.54 0.915587 320.603 128.921 
287.782 0.902703 318.8 137.168 
289.846 0.886236 327.053 151.502 
288.347 0.902545 319.482 137.568 
283.977 0.892487 318.187 143.525 
282.662 0.902107 313.335 135.208 
286.796 0.898444 319.215 140.163 
289.862 0.90441 320.498 136.745 
279.487 0.917191 304.721 121.415 
299.276 0.897608 333.415 146.968 
292.279 0.912505 320.304 131.025 
283.549 0.912813 310.632 126.855 
294.8 0.891622 330.633 149.704 
290.306 0.893112 325.049 146.218 
295.145 0.919481 320.991 126.193 
283.582 0.901778 314.469 135.914 
286.864 0.904331 317.212 135.396 
289.831 0.910475 318.329 131.65 
292.396 0.902484 323.991 139.55 
289.752 0.908507 318.932 133.272 
283.161 0.88981 318.226 145.217 
293.849 0.907616 323.759 135.914 
286.18 0.89677 319.123 141.211 
286.298 0.91185 313.974 128.894 
291.983 0.888377 328.67 150.897 
291.361 0.884217 329.512 153.907 
290.142 0.902858 321.36 138.165 
281.484 0.896528 313.972 139.086 
286.982 0.905869 316.803 134.185 
276.446 0.900949 306.839 133.145 
287.291 0.903985 317.805 135.882 
284.783 0.91275 312.006 127.461 
293.847 0.895397 328.175 146.126 
303.375 0.891674 340.231 154.015 
289.733 0.892312 324.699 146.575 
291.097 0.898111 324.121 142.539 
282.84 0.905301 312.426 132.71 
291.377 0.902117 322.992 139.368 
280.548 0.896992 312.766 138.257 
282.387 0.903031 312.71 134.332 
285.133 0.897621 317.654 140.012 
284.611 0.906423 313.994 132.622 
291.986 0.897756 325.24 143.266 
292.933 0.881463 332.326 156.942 
285.862 0.897804 318.401 140.222 
282.462 0.910881 310.098 127.968 
285.229 0.900932 316.593 137.389 
287.144 0.901591 318.486 137.773 
276.552 0.911146 303.521 125.076 
291.041 0.89562 324.96 144.548 
283.941 0.900538 315.301 137.086 
284.787 0.906954 314.004 132.268 
293.375 0.897638 326.83 144.045 
288.71 0.905494 318.843 135.304 
281.765 0.901338 312.608 135.396 
288.435 0.919037 313.845 123.708 
285.324 0.887152 321.618 148.42 
285.793 0.913555 312.836 127.235 
281.629 0.907568 310.312 130.301 
300.425 0.898796 334.253 146.525 
287.937 0.899873 319.976 139.558 
290.289 0.89574 324.077 144.077 
285.631 0.896066 318.762 141.505 
286.419 0.897289 319.205 140.911 
280.999 0.904503 310.666 132.489 
276.577 0.905905 305.305 129.291 
291.613 0.89812 324.692 142.784 
289.631 0.887309 326.415 150.534 
286.606 0.882264 324.853 152.926 
285.602 0.882317 323.696 152.349 
288.247 0.898607 320.771 140.74 
296.453 0.886325 334.474 154.883 
292.906 0.901271 324.992 140.804 
280.321 0.905445 309.595 131.412 
285.806 0.894471 319.525 142.868 
291.62 0.902716 323.047 138.987 
289.094 0.897242 322.203 142.265 
287.819 0.904581 318.18 135.641 
299.579 0.907181 330.231 138.942 
284.579 0.912998 311.697 127.161 
292.643 0.902508 324.256 139.648 
282.665 0.901602 313.514 135.615 
294.444 0.891072 330.438 149.973 
289.244 0.911381 317.369 130.618 
291.63 0.891944 326.96 147.834 
286.794 0.904526 317.065 135.202 
280.486 0.894234 313.66 140.394 
281.635 0.89536 314.55 140.083 
285.585 0.9042 315.843 134.899 
292.324 0.911013 320.878 132.323 
280.005 0.90774 308.464 129.411 
284.602 0.911383 312.275 128.519 
290.837 0.892286 325.946 147.155 
279.015 0.904003 308.644 131.954 
290.814 0.91429 318.076 128.84 
284.722 0.919239 309.736 121.943 
279.805 0.897161 311.878 137.758 
286.014 0.901717 317.188 137.129 
290.634 0.884736 328.498 153.11 
289.237 0.914765 316.187 127.735 
290.647 0.901941 322.246 139.165 
279.882 0.893248 313.33 140.862 
293.807 0.900623 326.226 141.778 
281.331 0.909247 309.411 128.794 
292.291 0.885071 330.245 153.715 
285.563 0.900318 317.18 138.047 
283.54 0.91912 308.49 121.538 
297.321 0.891664 333.445 150.95 
268.563 0.881799 304.563 143.64 
285.533 0.880992 324.104 153.344 
289.78 0.908552 318.948 133.247 
295.146 0.899944 327.96 142.992 
280.751 0.888249 316.072 145.192 
290.303 0.91089 318.702 131.513 
288.434 0.897329 321.436 141.87 
282.096 0.904232 311.974 133.226 
295.446 0.88437 334.075 155.942 
284.759 0.912247 312.151 127.87 
281.343 0.88854 316.635 145.272 
285.261 0.891935 319.823 144.612 
289.842 0.890184 325.598 148.342 
279.24 0.914617 305.308 123.443 
288.798 0.912962 316.331 129.077 
301.552 0.894135 337.256 151.022 
283.218 0.902995 313.643 134.757 
281.455 0.905836 310.713 131.627 
277.901 0.901052 308.419 133.765 
284.212 0.908206 312.938 130.972 
293.493 0.911648 321.937 132.307 
284.019 0.908832 312.51 130.368 
280.764 0.903353 310.802 133.302 
281.636 0.896255 314.236 139.376 
280.816 0.912919 307.603 125.545 
275.632 0.904468 304.745 129.986 
288.025 0.888916 324.019 148.423 
283.269 0.890586 318.071 144.663 
278.747 0.88366 315.446 147.67 
282.464 0.889588 317.523 145.033 
283.731 0.904025 313.853 134.166 
288.793 0.88746 325.416 149.979 
275.022 0.90161 305.034 131.943 
284.186 0.894042 317.867 142.399 
281.369 0.910423 309.053 127.849 
292.126 0.887907 329.005 151.35 
284.345 0.888617 319.985 146.761 
277.105 0.921594 300.68 116.71 
294.565 0.899825 327.358 142.81 
284.908 0.902513 315.683 135.953 
285.447 0.903581 315.907 135.34 
279.497 0.897127 311.547 137.633 
279.62 0.900793 310.415 134.798 
280.846 0.903138 310.967 133.514 
288.848 0.906517 318.635 134.518 
289.477 0.885631 326.86 151.791 
280.05 0.901103 310.786 134.759 
285.432 0.898355 317.728 139.568 
287.33 0.899863 319.304 139.272 
287.644 0.905965 317.5 134.414 
286.954 0.889436 322.625 147.459 
277.608 0.879262 315.729 150.394 
290.862 0.893308 325.601 146.34 
293.712 0.889466 330.211 150.907 
290.238 0.898758 322.932 141.588 
273.31 0.907405 301.199 126.581 
291.094 0.899336 323.676 141.53 
294.124 0.888687 330.964 151.752 
280.933 0.897165 313.134 138.31 
285.785 0.919179 310.913 122.45 
281.082 0.907336 309.788 130.237 
281.712 0.895102 314.726 140.324 
279.32 0.903001 309.324 132.897 
289.251 0.887131 326.052 150.478 
285.584 0.901017 316.957 137.491 
285.144 0.916812 311.017 124.195 
292.625 0.880652 332.283 157.424 
286.31 0.897265 319.092 140.877 
288.86 0.893948 323.129 144.817 
280.054 0.905807 309.177 130.995 
283.889 0.903175 314.323 134.93 
283.925 0.890293 318.912 145.229 
283.433 0.909781 311.54 129.317 
284.348 0.88756 320.37 147.592 
284.865 0.915654 311.106 125.054 
284.939 0.903891 315.236 134.846 
293.048 0.895872 327.109 145.338 
292.894 0.908287 322.469 134.904 
288.075 0.904458 318.506 135.862 
282.981 0.898169 315.064 138.518 
283.89 0.911037 311.612 128.485 
297.827 0.907037 328.352 138.253 
284.96 0.909271 313.394 130.436 
281.707 0.896845 314.109 138.944 
287.32 0.898208 319.882 140.611 
287.023 0.901406 318.417 137.866 
291.522 0.880795 330.976 156.717 
288.868 0.900911 320.64 139.159 
289.122 0.887558 325.749 150.071 
280.315 0.899181 311.745 136.412 
285.546 0.927989 307.704 114.653 
290.404 0.900212 322.595 140.474 
290.73 0.884023 328.871 153.729 
288.109 0.891338 323.232 146.534 
283.424 0.909004 311.796 129.953 
286.515 0.899572 318.502 139.113 
280.231 0.887269 315.835 145.679 
293.53 0.901921 325.45 140.562 
294.305 0.901569 326.437 141.228 
268.267 0.887534 302.261 139.264 
288.649 0.904288 319.2 136.274 
281.379 0.891575 315.597 142.925 
283.286 0.897901 315.498 138.881 
287.419 0.9031 318.259 136.67 
291.015 0.886496 328.276 151.905 
291.648 0.890627 327.464 148.909 
286.413 0.913813 313.426 127.293 
282.704 0.899561 314.269 137.271 
272.228 0.919494 296.063 116.383 
277.563 0.914011 303.676 123.198 
292.46 0.885583 330.246 153.393 
286.059 0.909039 314.683 131.132 
286.534 0.889532 322.117 147.167 
287.085 0.91343 314.293 127.916 
285.055 0.89428 318.753 142.645 
290.583 0.909556 319.478 132.769 
290.722 0.887637 327.524 150.839 
288.903 0.904478 319.414 136.236 
288.332 0.904835 318.657 135.672 
289.107 0.880044 328.514 156.009 
287.013 0.919214 312.238 122.946 
274.141 0.892742 307.078 138.36 
277.522 0.901357 307.893 133.342 
289.643 0.902796 320.829 137.979 
298.797 0.888581 336.263 154.25 
299.248 0.904591 330.81 141.018 
291.597 0.900998 323.638 140.401 
283.403 0.902606 313.983 135.16 
288.306 0.90041 320.195 139.299 
290.773 0.887424 327.659 151.036 
293.432 0.907192 323.451 136.081 
292.074 0.89133 327.683 148.557 
285.721 0.898583 317.968 139.525 
285.632 0.915764 311.906 125.298 
286.725 0.916343 312.901 125.284 
299.166 0.900928 332.064 144.106 
282.839 0.901856 313.618 135.495 
298.973 0.888232 336.593 154.629 
294.044 0.900315 326.601 142.149 
292.377 0.923783 316.499 121.192 
283.052 0.914015 309.68 125.631 
289.018 0.900188 321.064 139.824 
290.74 0.881473 329.834 155.759 
287.376 0.890504 322.711 146.825 
298.22 0.883665 337.481 157.981 
281.069 0.905984 310.236 131.326 
293.809 0.899352 326.689 142.837 
287.071 0.900734 318.707 138.437 
292.056 0.908179 321.584 134.61 
278.074 0.903437 307.795 131.958 
282.897 0.895834 315.792 140.335 
280.928 0.894386 314.101 140.496 
286.412 0.91889 311.694 122.967 
283.082 0.906117 312.412 132.159 
294.182 0.890612 330.314 150.215 
288.204 0.91375 315.408 128.143 
300.876 0.894108 336.51 150.706 
283.826 0.904955 313.635 133.454 
285.697 0.896751 318.591 140.988 
288.633 0.902108 319.953 138.063 
289.693 0.913712 317.051 128.838 
279.744 0.898455 311.361 136.708 
286.211 0.90698 315.565 132.908 
292.612 0.890065 328.753 149.856 
274.984 0.9154 300.398 120.923 
287.136 0.894218 321.103 143.736 
279.169 0.90269 309.263 133.073 
286.098 0.902585 316.976 136.462 
288.371 0.907171 317.88 133.752 
289.089 0.903168 320.084 137.408 
286.714 0.89999 318.575 138.87 
295.854 0.905078 326.883 139.005 
291.156 0.896546 324.753 143.85 
291.477 0.90344 322.629 138.316 
282.787 0.895575 315.76 140.485 
299.749 0.914837 327.652 132.313 
282.789 0.909161 311.044 129.533 
290.615 0.905861 320.816 135.89 
281.785 0.901088 312.716 135.605 
279.924 0.889782 314.599 143.578 
280.993 0.912673 307.879 125.827 
296.898 0.900709 329.627 143.197 
283.886 0.893814 317.612 142.429 
281.505 0.891673 315.704 142.913 
282.321 0.897686 314.498 138.579 
279.704 0.901782 310.168 134.052 
285.152 0.902426 315.984 136.14 
286.334 0.904131 316.695 135.31 
290.048 0.897712 323.097 142.351 
284.331 0.901642 315.347 136.382 
288.153 0.876686 328.684 158.117 
292.046 0.900929 324.161 140.675 
296.892 0.915983 324.124 130.044 
290.151 0.888634 326.513 149.744 
283.558 0.901602 314.505 136.045 
279.365 0.892897 312.875 140.875 
274.55 0.902033 304.368 131.386 
286.164 0.904547 316.362 134.889 
301.463 0.902699 333.957 143.693 
285.855 0.886878 322.316 148.911 
291.847 0.903824 322.903 138.171 
284.514 0.905521 314.2 133.316 
283.276 0.89706 315.783 139.547 
289.603 0.89601 323.214 143.518 
285.296 0.898703 317.452 139.221 
288.74 0.886108 325.852 151.025 
279.509 0.91257 306.288 125.248 
288.964 0.878613 328.887 157.055 
293.005 0.885714 330.812 153.573 
286.889 0.909298 315.506 131.296 
283.919 0.886799 320.162 147.964 
293.048 0.889375 329.499 150.64 
274.966 0.903663 304.28 130.306 
291.026 0.903333 322.17 138.192 
283.982 0.89217 318.305 143.778 
294.718 0.910978 323.518 133.436 
287.251 0.906347 316.932 133.915 
292.055 0.894426 326.528 146.029 
284.179 0.900166 315.697 137.501 
285.385 0.908863 314.002 130.969 
282.887 0.893998 316.43 141.783 
290.866 0.894949 325.009 145.009 
286.655 0.900967 318.163 138.047 
288.703 0.885366 326.083 151.594 
283.45 0.899181 315.232 137.938 
