p(MeV) beta E(MeV) m(MeV)
275.808 0.903897 305.132 130.52 
289.171 0.896437 322.578 142.957 
281.966 0.885394 318.464 148.035 
272.934 0.91244 299.126 122.405 
288.455 0.898607 321.002 140.841 
282.102 0.899811 313.512 136.779 
285.685 0.893367 319.785 143.689 
281.434 0.903463 311.506 133.532 
291.347 0.907938 320.888 134.486 
291.028 0.911058 319.439 131.698 
288.939 0.884146 326.8 152.684 
285.256 0.906307 314.746 133.018 
276.344 0.891324 310.038 140.561 
290.538 0.906926 320.355 134.963 
290.882 0.906754 320.795 135.266 
288.848 0.898973 321.309 140.734 
287.337 0.904888 317.539 135.16 
285.49 0.901844 316.562 136.775 
293.514 0.894321 328.198 146.844 
282.093 0.897581 314.281 138.551 
285.864 0.893173 320.054 143.932 
284.305 0.887487 320.348 147.627 
291.561 0.916287 318.199 127.446 
281.83 0.88202 319.528 150.565 
278.802 0.894912 311.541 139.023 
293.039 0.908721 322.474 134.602 
288.196 0.884579 325.8 151.95 
286.48 0.897694 319.129 140.615 
288.166 0.905152 318.362 135.332 
277.409 0.896481 309.443 137.108 
290.625 0.898003 323.635 142.395 
281.653 0.90936 309.727 128.849 
289.897 0.883519 328.117 153.689 
290.121 0.895404 324.011 144.267 
292.68 0.889172 329.16 150.615 
283.759 0.902868 314.286 135.117 
292.86 0.889586 329.21 150.372 
279.752 0.907636 308.221 129.378 
292.576 0.912946 320.475 130.779 
291.147 0.911221 319.513 131.613 
286.836 0.892382 321.427 145.053 
284.424 0.895803 317.507 141.116 
287.058 0.899114 319.268 139.748 
282.491 0.899927 313.904 136.875 
288.543 0.88461 326.182 152.109 
292.483 0.902027 324.25 139.972 
293.407 0.919871 318.965 125.105 
279.659 0.882407 316.928 149.11 
297.734 0.90626 328.531 138.877 
284.423 0.893745 318.238 142.754 
289.337 0.895971 322.931 143.418 
279.689 0.902157 310.022 133.746 
287.29 0.898907 319.599 140.029 
281.079 0.92141 305.053 118.541 
288.836 0.909415 317.607 132.089 
290.117 0.88149 329.121 155.412 
296.13 0.906249 326.765 138.138 
295.546 0.890934 331.726 150.647 
286.313 0.901923 317.447 137.104 
275.832 0.89209 309.197 139.713 
283.258 0.910395 311.138 128.73 
283.658 0.903755 313.867 134.351 
292.065 0.894901 326.365 145.646 
281.653 0.897697 313.751 138.243 
281.672 0.908188 310.147 129.816 
283.901 0.900508 315.267 137.09 
285.844 0.9026 316.689 136.328 
291.336 0.880297 330.951 157.011 
293.769 0.898357 327.007 143.643 
284.349 0.892723 318.518 143.526 
279.076 0.905408 308.233 130.858 
290.865 0.907736 320.429 134.433 
291.46 0.90858 320.787 133.996 
297.463 0.900594 330.296 143.567 
281.236 0.905047 310.741 132.162 
292.816 0.909278 322.031 134.026 
282.896 0.886626 319.07 147.566 
287.333 0.879337 326.761 155.604 
282.599 0.884658 319.444 148.938 
286.087 0.90175 317.258 137.137 
293.278 0.883236 332.05 155.708 
294.047 0.889205 330.685 151.291 
292.833 0.893315 327.805 147.325 
285.256 0.916622 311.204 124.405 
288.513 0.888333 324.781 149.139 
285.759 0.89826 318.125 139.804 
288.297 0.901828 319.68 138.132 
285.19 0.91034 313.278 129.654 
289.875 0.901901 321.405 138.828 
295.389 0.913919 323.211 131.19 
292.502 0.898308 325.615 143.064 
292.911 0.906785 323.021 136.184 
292.957 0.895659 327.086 145.469 
287.723 0.884471 325.305 151.786 
281.613 0.880538 319.819 151.587 
283.417 0.885471 320.075 148.737 
288.567 0.904345 319.09 136.188 
289.607 0.914232 316.777 128.355 
285.022 0.903787 315.364 134.97 
287.643 0.901479 319.079 138.104 
282.023 0.907358 310.818 130.655 
280.745 0.89606 313.311 139.089 
281.229 0.891064 315.61 143.248 
282.323 0.902634 312.777 134.622 
